epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.27661,1.33065,3.20416,1.32785,0.00821,0.93291,0.40316,0.28,0.95894,3.02741,0.95725,0.00023338,0.00023338,0.00023338
2,9.88163,0.80258,1.35903,0.98021,0.91742,0.45041,0.46988,0.3472,0.78067,2.64703,0.8571,0.000481835,0.000481835,0.000481835
3,14.4718,0.69595,1.00528,0.93195,0.98942,0.38248,0.44088,0.31808,0.93874,2.55576,0.95374,0.000728639,0.000728639,0.000728639
4,19.0968,0.6932,0.88937,0.92494,0.91108,0.26746,0.37292,0.2795,0.8755,2.3456,0.94203,0.000973793,0.000973793,0.000973793
5,23.6795,0.62491,0.77299,0.90319,0.97958,0.38816,0.78818,0.49194,1.25258,1.8136,1.19256,0.0012173,0.0012173,0.0012173
6,28.2716,0.63466,0.70065,0.90663,0.93221,0.36157,0.91632,0.6315,0.98876,1.59224,1.01182,0.00145915,0.00145915,0.00145915
7,32.8431,0.66007,0.63514,0.91453,0.85783,0.90163,0.94358,0.67032,0.9323,1.19138,0.98586,0.00163399,0.00163399,0.00163399
8,37.4187,0.63195,0.57591,0.89981,0.7152,0.9398,0.94238,0.67602,0.98736,0.97988,1.00939,0.00162849,0.00162849,0.00162849
9,42.025,0.60044,0.51009,0.88908,0.6158,0.68826,0.76113,0.46771,1.30503,1.52682,1.25289,0.00162299,0.00162299,0.00162299
10,46.6123,0.5651,0.47317,0.88238,0.83408,0.87279,0.92165,0.5246,1.52841,1.12183,1.38205,0.00161749,0.00161749,0.00161749
11,51.1991,0.54885,0.43205,0.87539,0.78066,0.67799,0.74833,0.3788,1.74146,1.49021,1.5039,0.00161199,0.00161199,0.00161199
12,55.7902,0.5315,0.40963,0.86756,0.81663,0.93798,0.9633,0.55479,1.52797,1.00028,1.34482,0.00160649,0.00160649,0.00160649
13,60.3713,0.47087,0.37748,0.85251,0.88494,0.85904,0.96591,0.69624,0.93294,0.76625,0.96894,0.00160099,0.00160099,0.00160099
14,64.9431,0.469,0.35863,0.85361,0.93478,0.9451,0.98079,0.75807,0.79782,0.67403,0.89886,0.00159549,0.00159549,0.00159549
15,69.5476,0.44087,0.33702,0.84705,0.97666,0.93106,0.98206,0.72916,0.97105,0.62988,0.99414,0.00158998,0.00158998,0.00158998
16,74.1609,0.4338,0.32575,0.84339,0.94451,0.94019,0.97907,0.72463,0.8577,0.75623,0.94589,0.00158448,0.00158448,0.00158448
17,78.7525,0.41902,0.31767,0.83844,0.7556,0.79947,0.92274,0.68499,0.88145,1.2436,0.96472,0.00157898,0.00157898,0.00157898
18,83.3364,0.39397,0.29916,0.8317,0.96416,0.93745,0.97992,0.7161,0.91447,0.65403,0.97249,0.00157348,0.00157348,0.00157348
19,87.9239,0.36397,0.28534,0.82414,0.9834,0.9627,0.98587,0.74781,0.81693,0.58468,0.91833,0.00156798,0.00156798,0.00156798
20,92.4978,0.3689,0.28546,0.82791,0.97914,0.95866,0.98273,0.68609,0.96715,0.62867,0.97893,0.00156248,0.00156248,0.00156248
21,97.0951,0.3517,0.27695,0.82239,0.98949,0.97876,0.98679,0.74987,0.80377,0.58735,0.90892,0.00155698,0.00155698,0.00155698
22,101.718,0.33261,0.2618,0.81923,0.98653,0.96254,0.98972,0.72733,0.93417,0.51955,0.94673,0.00155148,0.00155148,0.00155148
23,106.306,0.34419,0.26195,0.82043,0.98879,0.96755,0.98745,0.76545,0.81016,0.50778,0.91837,0.00154598,0.00154598,0.00154598
24,110.907,0.31887,0.24995,0.81542,0.99166,0.97681,0.98859,0.7639,0.8114,0.51251,0.92129,0.00154047,0.00154047,0.00154047
25,115.51,0.31012,0.24537,0.81401,0.98601,0.97608,0.98928,0.778,0.75322,0.60429,0.90311,0.00153497,0.00153497,0.00153497
26,120.114,0.30128,0.2424,0.81405,0.98884,0.95676,0.98266,0.75361,0.81906,0.67665,0.93479,0.00152947,0.00152947,0.00152947
27,124.72,0.29328,0.23826,0.81079,0.96213,0.9517,0.98722,0.76436,0.79797,0.7618,0.92381,0.00152397,0.00152397,0.00152397
28,129.31,0.30892,0.2453,0.81217,0.97978,0.96513,0.97513,0.74866,0.77136,0.73674,0.90263,0.00151847,0.00151847,0.00151847
29,133.916,0.28678,0.23658,0.80954,0.99088,0.97573,0.9905,0.77086,0.80446,0.49305,0.91215,0.00151297,0.00151297,0.00151297
30,138.526,0.28315,0.23097,0.80874,0.99095,0.96664,0.98569,0.77764,0.78574,0.72529,0.91134,0.00150747,0.00150747,0.00150747
31,143.123,0.27148,0.22394,0.80717,0.9751,0.96232,0.98142,0.74467,0.83545,0.7354,0.94194,0.00150197,0.00150197,0.00150197
32,147.736,0.26912,0.22111,0.8064,0.97537,0.94675,0.97958,0.75684,0.77036,0.91205,0.92337,0.00149647,0.00149647,0.00149647
