epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.98665,1.20606,2.84583,1.24428,0.00771,0.91028,0.44791,0.32681,0.8938,2.88125,0.91114,0.00031673,0.00031673,0.00031673
2,13.2492,0.75193,1.1527,0.95829,0.91325,0.43899,0.46711,0.35117,0.82822,2.44965,0.87983,0.000647985,0.000647985,0.000647985
3,19.5052,0.65139,0.89955,0.91032,0.99631,0.39999,0.52547,0.28173,1.54905,2.18354,1.37827,0.000977039,0.000977039,0.000977039
4,25.7369,0.65834,0.80761,0.91232,0.94653,0.39187,0.67011,0.33731,1.49153,1.87465,1.30826,0.00130389,0.00130389,0.00130389
5,31.9232,0.69492,0.71024,0.92534,0.74817,0.43098,0.4864,0.30321,1.73114,1.83278,2.00618,0.00162855,0.00162855,0.00162855
6,38.1474,0.6365,0.58917,0.9026,0.32047,0.34013,0.28259,0.14256,1.74844,2.53253,1.62412,0.00163949,0.00163949,0.00163949
7,44.3834,0.59643,0.51114,0.89079,0.53293,0.67071,0.686,0.50287,0.95748,1.46304,1.02335,0.00163399,0.00163399,0.00163399
8,50.6581,0.55823,0.44659,0.87844,0.51721,0.45155,0.48819,0.29669,1.12625,2.73374,1.08981,0.00162849,0.00162849,0.00162849
9,56.8991,0.5463,0.41257,0.87597,0.89473,0.85799,0.95303,0.71907,0.77069,0.60804,0.89322,0.00162299,0.00162299,0.00162299
10,63.1517,0.54126,0.38574,0.87114,0.91007,0.9089,0.96525,0.69611,0.91188,0.6975,1.01856,0.00161749,0.00161749,0.00161749
11,69.3937,0.51312,0.36913,0.86307,0.9613,0.91738,0.95628,0.68699,0.99956,0.55759,0.98308,0.00161199,0.00161199,0.00161199
12,75.672,0.45786,0.34254,0.84854,0.92011,0.92592,0.9653,0.73087,0.77626,0.64319,0.89203,0.00160649,0.00160649,0.00160649
13,81.9328,0.43739,0.32592,0.84256,0.97789,0.9401,0.9792,0.76768,0.70656,0.46891,0.86855,0.00160099,0.00160099,0.00160099
14,88.212,0.48838,0.33292,0.85377,0.94015,0.86938,0.94074,0.65431,1.02986,0.6294,0.9964,0.00159549,0.00159549,0.00159549
15,94.5121,0.4091,0.30785,0.83797,0.90522,0.89802,0.9645,0.73379,0.83489,0.73719,0.91688,0.00158998,0.00158998,0.00158998
16,100.837,0.41123,0.3018,0.83546,0.94089,0.92128,0.96964,0.73305,0.80943,0.5949,0.93502,0.00158448,0.00158448,0.00158448
17,107.098,0.42032,0.29777,0.83674,0.95835,0.91516,0.95713,0.66929,1.07682,0.59698,1.00177,0.00157898,0.00157898,0.00157898
18,113.367,0.37333,0.28032,0.82757,0.96495,0.94725,0.97745,0.76536,0.74673,0.47382,0.89284,0.00157348,0.00157348,0.00157348
19,119.634,0.36394,0.27072,0.82382,0.97203,0.94689,0.98286,0.75351,0.78074,0.4553,0.87913,0.00156798,0.00156798,0.00156798
20,125.899,0.34283,0.26258,0.82023,0.96438,0.94454,0.97884,0.74823,0.87123,0.50696,0.91913,0.00156248,0.00156248,0.00156248
21,132.185,0.33079,0.25197,0.81715,0.98347,0.93955,0.9799,0.76552,0.71659,0.40096,0.88612,0.00155698,0.00155698,0.00155698
22,138.423,0.33258,0.24963,0.81803,0.95578,0.95149,0.97921,0.78585,0.65471,0.39135,0.85163,0.00155148,0.00155148,0.00155148
23,144.69,0.33052,0.25038,0.81686,0.95404,0.93517,0.97982,0.79368,0.66161,0.50029,0.85026,0.00154598,0.00154598,0.00154598
24,150.989,0.313,0.24719,0.81277,0.9833,0.93497,0.98145,0.78352,0.62757,0.46665,0.84183,0.00154047,0.00154047,0.00154047
25,157.247,0.31981,0.2398,0.81465,0.98239,0.95664,0.98422,0.75266,0.89367,0.47273,0.90779,0.00153497,0.00153497,0.00153497
26,163.516,0.29361,0.23276,0.81,0.97504,0.94023,0.97048,0.76613,0.76581,0.44889,0.91862,0.00152947,0.00152947,0.00152947
